name,price,discount_price,stock,category,brand
Aashirvaad Atta 5kg,280,250,50,Flour & Atta,ITC
Britannia Good Day Butter 100g,30,25,100,Biscuits,Britannia
Amul Butter 500g,275,260,35,Dairy,Amul
Fortune Mustard Oil 1L,180,165,40,Edible Oil,Fortune
Tata Salt 1kg,28,24,150,Spices & Masala,Tata
Cadbury Dairy Milk Silk 150g,175,160,60,Chocolates,Cadbury
Surf Excel Easy Wash 1kg,145,130,45,Household,Unilever
Nestle Maggi 2-Min Noodles 280g,48,42,200,Instant Food,Nestle
Dettol Antiseptic Liquid 250ml,125,115,50,Personal Care,Dettol
Coca-Cola Soft Drink 1.25L,65,55,80,Beverages,Coca-Cola
